[34m[1mdetect: [0mweights=['/kaggle/working/yolov5/detection/car-detection/weights/best.pt'], source=/kaggle/input/video-data/traffic_test.mp4, data=data/coco128.yaml, imgsz=[640, 640], conf_thres=0.25, iou_thres=0.45, max_det=1000, device=, view_img=False, save_txt=False, save_format=0, save_csv=False, save_conf=False, save_crop=False, nosave=False, classes=None, agnostic_nms=False, augment=False, visualize=False, update=False, project=detection, name=traffic_test_inference, exist_ok=True, line_thickness=3, hide_labels=False, hide_conf=False, half=False, dnn=False, vid_stride=1
YOLOv5 🚀 v7.0-421-g79c4c31d Python-3.11.11 torch-2.6.0+cu124 CUDA:0 (Tesla T4, 15095MiB)

Fusing layers... 
Model summary: 157 layers, 7015519 parameters, 0 gradients, 15.8 GFLOPs
video 1/1 (156/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 10 not-cars, 7.5ms
video 1/1 (157/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 11 not-cars, 7.5ms
video 1/1 (158/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 10 not-cars, 7.5ms
video 1/1 (159/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 10 not-cars, 7.5ms
video 1/1 (160/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 10 not-cars, 7.5ms
video 1/1 (161/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 12 not-cars, 7.5ms
video 1/1 (162/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 8 cars, 12 not-cars, 7.5ms
video 1/1 (163/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 8 cars, 12 not-cars, 7.5ms
video 1/1 (164/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 7 cars, 9 not-cars, 7.7ms
video 1/1 (165/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 7 cars, 9 not-cars, 7.5ms
video 1/1 (166/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 8 not-cars, 7.5ms
video 1/1 (167/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 9 not-cars, 7.5ms
video 1/1 (168/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 8 not-cars, 7.5ms
video 1/1 (169/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 8 not-cars, 7.5ms
video 1/1 (170/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 7 not-cars, 7.5ms
video 1/1 (171/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 7 not-cars, 7.5ms
video 1/1 (172/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 8 not-cars, 7.5ms
video 1/1 (173/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.5ms
video 1/1 (174/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 11 not-cars, 7.5ms
video 1/1 (175/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 10 not-cars, 7.5ms
video 1/1 (176/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 8 not-cars, 7.5ms
video 1/1 (177/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 8 not-cars, 7.6ms
video 1/1 (178/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.5ms
video 1/1 (179/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.5ms
